品名,日付,販売方法,卸売数量合計,豊洲,大田,豊島,淀橋,板橋,世田谷,北足立,多摩NT,葛西
たまねぎ,2021/2/2,相対,531430,35318,241390,15000,63960,25500,14782,62800,8380,64300
たまねぎ,2021/2/2,第三者販売,56100,－,56100,－,－,－,－,－,－,－
たまねぎ,2021/2/2,商物分離,66660,－,66660,－,－,－,－,－,－,－
なましいたけ,2021/2/2,せり・入札,417,230,70,－,117,－,－,－,－,－
なましいたけ,2021/2/2,相対,30148,2530,17827,300,2229,1100,195,4000,67,1900
なましいたけ,2021/2/2,第三者販売,279,246,30,－,－,－,－,－,3,－
なましいたけ,2021/2/2,商物分離,1131,－,1131,－,－,－,－,－,－,－
その他野菜,2021/2/2,せり・入札,7875,1466,2102,－,3607,－,－,200,－,500
その他野菜,2021/2/2,相対,738155,100370,326051,50000,68532,46500,16453,59800,10249,60200
その他野菜,2021/2/2,第三者販売,7284,3222,4062,－,－,－,－,－,－,－
その他野菜,2021/2/2,商物分離,10170,－,10170,－,－,－,－,－,－,－
みかん,2021/2/2,せり・入札,5070,－,3100,－,－,910,－,100,－,960
みかん,2021/2/2,相対,454739,91509,210639,26200,76491,4270,2200,20100,90,23240
みかん,2021/2/2,第三者販売,17268,10792,5436,－,－,920,－,－,120,－
みかん,2021/2/2,商物分離,66182,－,66182,－,－,－,－,－,－,－
ポンカン,2021/2/2,相対,34430,7780,8540,4500,11460,－,－,－,150,2000
ポンカン,2021/2/2,第三者販売,150,－,－,－,－,－,－,－,150,－
ポンカン,2021/2/2,商物分離,60,－,60,－,－,－,－,－,－,－
いよかん,2021/2/2,せり・入札,460,－,460,－,－,－,－,－,－,－
いよかん,2021/2/2,相対,44120,5400,24000,－,3180,1900,100,9500,40,－
いよかん,2021/2/2,第三者販売,6190,4500,1590,－,－,100,－,－,－,－
いよかん,2021/2/2,商物分離,27820,－,27820,－,－,－,－,－,－,－
はっさく,2021/2/2,相対,22482,－,15552,－,3750,－,－,3000,80,100
はっさく,2021/2/2,第三者販売,1225,1225,－,－,－,－,－,－,－,－
不知火,2021/2/2,せり・入札,10,－,10,－,－,－,－,－,－,－
不知火,2021/2/2,相対,28180,4665,12445,2900,2450,100,－,2900,420,2300
不知火,2021/2/2,第三者販売,485,485,－,－,－,－,－,－,－,－
せとか,2021/2/2,せり・入札,42,－,42,－,－,－,－,－,－,－
せとか,2021/2/2,相対,4515,252,3653,－,－,－,10,500,－,100
せとか,2021/2/2,第三者販売,6,6,－,－,－,－,－,－,－,－
きんかん,2021/2/2,せり・入札,218,－,218,－,－,－,－,－,－,－
きんかん,2021/2/2,相対,10704,541,8015,－,1248,200,－,600,－,100
きんかん,2021/2/2,第三者販売,384,24,360,－,－,－,－,－,－,－
りんご,2021/2/2,せり・入札,3720,－,3690,－,－,－,－,－,－,30
りんご,2021/2/2,相対,272224,24426,170158,3600,33230,3600,9000,8200,340,19670
りんご,2021/2/2,第三者販売,9130,2000,7130,－,－,－,－,－,－,－
りんご,2021/2/2,商物分離,6104,－,6104,－,－,－,－,－,－,－
いちご,2021/2/2,せり・入札,1521,－,1365,－,－,6,－,100,－,50
いちご,2021/2/2,相対,156886,16119,105702,1800,7952,3560,600,11700,603,8850
いちご,2021/2/2,第三者販売,2377,796,1446,－,－,34,－,－,101,－
いちご,2021/2/2,商物分離,11019,－,11019,－,－,－,－,－,－,－
アールスメロン,2021/2/2,せり・入札,2275,468,1683,24,－,－,－,100,－,－
アールスメロン,2021/2/2,相対,5050,972,3317,276,161,100,－,100,24,100
アールスメロン,2021/2/2,第三者販売,67,67,－,－,－,－,－,－,－,－
キウイ,2021/2/2,相対,3835,－,1527,500,504,1200,－,－,4,100
キウイ,2021/2/2,第三者販売,400,144,252,－,－,－,－,－,4,－
その他果実,2021/2/2,せり・入札,625,－,625,－,－,－,－,－,－,－
その他果実,2021/2/2,相対,282523,43352,61385,12200,17214,52300,2200,37100,672,56100
その他果実,2021/2/2,第三者販売,11827,11502,325,－,－,－,－,－,－,－
その他果実,2021/2/2,商物分離,11533,－,11533,－,－,－,－,－,－,－
だいこん,2021/2/4,せり・入札,1480,－,880,100,－,200,－,200,－,100
だいこん,2021/2/4,相対,407289,32964,167619,21700,45500,37600,13385,50800,12121,25600
だいこん,2021/2/4,第三者販売,6536,5916,300,200,－,－,－,－,120,－
だいこん,2021/2/4,商物分離,37222,－,37222,－,－,－,－,－,－,－
かぶ,2021/2/4,せり・入札,277,－,277,－,－,－,－,－,－,－
かぶ,2021/2/4,相対,49023,－,36062,1500,3372,3000,914,1700,1175,1300
かぶ,2021/2/4,第三者販売,34,－,－,－,－,－,－,－,34,－
かぶ,2021/2/4,商物分離,4677,－,4377,－,－,－,－,300,－,－
にんじん,2021/2/4,せり・入札,2147,650,1397,－,－,－,－,－,－,100
にんじん,2021/2/4,相対,296682,38849,131890,18400,48213,16400,10120,10500,2010,20300
にんじん,2021/2/4,第三者販売,18800,100,14360,3600,－,－,－,－,740,－
にんじん,2021/2/4,商物分離,7916,－,7916,－,－,－,－,－,－,－
ごぼう,2021/2/4,相対,22469,2631,9132,500,4598,1800,494,1200,114,2000
ごぼう,2021/2/4,第三者販売,425,－,421,－,－,－,－,－,4,－
ごぼう,2021/2/4,商物分離,2228,－,2228,－,－,－,－,－,－,－
キャベツ,2021/2/4,せり・入札,4092,310,3272,100,－,160,50,100,－,100
キャベツ,2021/2/4,相対,685519,83347,338650,29900,110595,37240,12510,35900,6077,31300
キャベツ,2021/2/4,第三者販売,15029,4250,10679,－,－,－,－,－,100,－
キャベツ,2021/2/4,商物分離,85972,－,85972,－,－,－,－,－,－,－
レタス,2021/2/4,せり・入札,510,－,60,100,－,150,－,100,－,100
レタス,2021/2/4,相対,292677,35388,160683,32450,19693,12750,2603,14000,5210,9900
レタス,2021/2/4,第三者販売,6684,624,5600,450,－,－,－,－,10,－
レタス,2021/2/4,商物分離,29703,－,29703,－,－,－,－,－,－,－
はくさい,2021/2/4,せり・入札,4160,－,3415,150,－,195,－,300,－,100
はくさい,2021/2/4,相対,588327,58707,277733,64850,51440,19005,18622,38700,9570,49700
はくさい,2021/2/4,第三者販売,7110,7035,－,－,－,－,－,－,75,－
はくさい,2021/2/4,商物分離,145600,－,139600,－,－,－,－,6000,－,－
こまつな,2021/2/4,せり・入札,4326,354,1437,200,217,100,18,－,－,2000
こまつな,2021/2/4,相対,54283,8382,25021,2800,4118,5100,727,5100,1135,1900
こまつな,2021/2/4,第三者販売,41,25,－,－,－,－,－,－,16,－
こまつな,2021/2/4,商物分離,2426,－,2426,－,－,－,－,－,－,－
ほうれんそう,2021/2/4,せり・入札,2940,1478,738,－,544,80,－,100,－,－
ほうれんそう,2021/2/4,相対,95600,11988,41401,8000,10344,3720,748,15600,399,3400
ほうれんそう,2021/2/4,第三者販売,811,797,－,－,－,－,－,－,14,－
ほうれんそう,2021/2/4,商物分離,3304,－,3304,－,－,－,－,－,－,－
ねぎ,2021/2/4,せり・入札,2556,669,239,50,1023,75,－,400,－,100
ねぎ,2021/2/4,相対,202587,30363,92438,11700,19446,18025,3104,17600,3811,6100
ねぎ,2021/2/4,第三者販売,3547,1952,1235,250,－,－,－,－,110,－
ねぎ,2021/2/4,商物分離,3925,－,3925,－,－,－,－,－,－,－
みずな,2021/2/4,せり・入札,6,－,6,－,－,－,－,－,－,－
みずな,2021/2/4,相対,22626,4248,10949,1000,1225,1900,234,2200,170,700
みずな,2021/2/4,第三者販売,608,15,588,－,－,－,－,－,5,－
みずな,2021/2/4,商物分離,2090,－,2090,－,－,－,－,－,－,－
セルリー,2021/2/4,せり・入札,17,－,17,－,－,－,－,－,－,－
セルリー,2021/2/4,相対,37163,3741,19724,2000,3688,1600,400,4300,710,1000
セルリー,2021/2/4,第三者販売,300,300,－,－,－,－,－,－,－,－
ブロッコリー,2021/2/4,せり・入札,652,－,652,－,－,－,－,－,－,－
ブロッコリー,2021/2/4,相対,167086,24168,95790,4000,20613,3100,1833,6500,1282,9800
ブロッコリー,2021/2/4,第三者販売,1900,1890,－,－,－,－,－,－,10,－
ブロッコリー,2021/2/4,商物分離,24080,－,24080,－,－,－,－,－,－,－
きゅうり,2021/2/4,せり・入札,415,－,90,50,－,75,－,100,－,100
きゅうり,2021/2/4,相対,274535,33155,137193,11950,33927,14425,12790,14400,5795,10900
きゅうり,2021/2/4,第三者販売,1767,1625,82,－,－,－,－,－,60,－
きゅうり,2021/2/4,商物分離,4600,－,4600,－,－,－,－,－,－,－
なす,2021/2/4,せり・入札,240,－,25,50,－,65,－,100,－,－
なす,2021/2/4,相対,130541,20759,64581,4950,17381,7835,2935,5400,3200,3500
なす,2021/2/4,第三者販売,426,269,157,－,－,－,－,－,－,－
なす,2021/2/4,商物分離,3699,－,3699,－,－,－,－,－,－,－
トマト,2021/2/4,せり・入札,1289,142,799,32,－,116,－,100,－,100
トマト,2021/2/4,相対,334587,38097,174020,9968,49703,17684,11835,23600,3480,6200
トマト,2021/2/4,第三者販売,7880,7589,291,－,－,－,－,－,－,－
トマト,2021/2/4,商物分離,15792,－,13992,－,－,－,－,1800,－,－
ミニトマト,2021/2/4,せり・入札,35,－,35,－,－,－,－,－,－,－
ミニトマト,2021/2/4,相対,96257,10037,57277,800,11099,5200,2453,3700,91,5600
ミニトマト,2021/2/4,第三者販売,2733,2675,48,－,－,－,－,－,10,－
ミニトマト,2021/2/4,商物分離,12572,－,12572,－,－,－,－,－,－,－
ピーマン,2021/2/4,せり・入札,586,－,40,－,414,32,－,100,－,－
ピーマン,2021/2/4,相対,98315,6822,42480,5998,7858,26568,2590,2400,199,3400
